timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684010412524,1557,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-1,text,true,,578,1201196,20,50,http://35.223.11.56/api/tasks,1557,0,6
1684010412557,2017,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-2,text,true,,578,1201180,20,50,http://35.223.11.56/api/tasks,2017,0,2
1684010412607,2484,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-3,text,true,,578,1201192,20,50,http://35.223.11.56/api/tasks,2484,0,1
1684010412657,2965,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-4,text,true,,578,1201172,20,50,http://35.223.11.56/api/tasks,2965,0,1
1684010412708,3403,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-5,text,true,,578,1201208,20,50,http://35.223.11.56/api/tasks,3403,0,1
1684010412756,3862,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-6,text,true,,578,1201188,20,50,http://35.223.11.56/api/tasks,3862,0,2
1684010412807,4359,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-7,text,true,,578,1201196,20,50,http://35.223.11.56/api/tasks,4359,0,1
1684010412856,4802,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-8,text,true,,578,1201192,20,50,http://35.223.11.56/api/tasks,4802,0,2
1684010412906,5261,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-9,text,true,,578,1201180,20,50,http://35.223.11.56/api/tasks,5261,0,1
1684010412956,5716,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-10,text,true,,579,1201176,20,50,http://35.223.11.56/api/tasks,5716,0,1
1684010413008,6151,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-11,text,true,,579,1201204,20,50,http://35.223.11.56/api/tasks,6151,0,1
1684010413057,6626,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-12,text,true,,579,1201188,20,50,http://35.223.11.56/api/tasks,6626,0,1
1684010413106,7096,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-13,text,true,,579,1201184,20,50,http://35.223.11.56/api/tasks,7096,0,2
1684010413155,7546,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-14,text,true,,579,1201172,20,50,http://35.223.11.56/api/tasks,7546,0,2
1684010413206,8000,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-15,text,true,,579,1201188,20,50,http://35.223.11.56/api/tasks,8000,0,1
1684010413259,8439,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-16,text,true,,579,1201180,20,50,http://35.223.11.56/api/tasks,8438,0,2
1684010413306,8882,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-17,text,true,,579,1201200,20,50,http://35.223.11.56/api/tasks,8881,0,1
1684010413357,9301,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-18,text,true,,579,1201180,20,50,http://35.223.11.56/api/tasks,9300,0,1
1684010413407,9781,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-19,text,true,,579,1201196,20,50,http://35.223.11.56/api/tasks,9781,0,2
1684010413458,10214,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-20,text,true,,579,1201180,20,50,http://35.223.11.56/api/tasks,10214,0,2
1684010414086,10137,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-1,text,true,,579,1201180,20,50,http://35.223.11.56/api/tasks,10137,0,1
1684010414578,10214,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-2,text,true,,579,1201176,20,50,http://35.223.11.56/api/tasks,10214,0,1
1684010415091,10310,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-3,text,true,,579,1201168,20,50,http://35.223.11.56/api/tasks,10310,0,1
1684010415623,10370,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-4,text,true,,579,1201180,20,50,http://35.223.11.56/api/tasks,10370,0,1
1684010416111,10458,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-5,text,true,,579,1201172,20,50,http://35.223.11.56/api/tasks,10458,0,1
1684010416619,10559,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-6,text,true,,579,1201176,20,50,http://35.223.11.56/api/tasks,10559,0,1
1684010417166,10628,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-7,text,true,,579,1201176,20,50,http://35.223.11.56/api/tasks,10628,0,1
1684010417658,10684,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-8,text,true,,579,1201200,20,50,http://35.223.11.56/api/tasks,10683,0,2
1684010418167,10773,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-9,text,true,,579,1201208,20,50,http://35.223.11.56/api/tasks,10773,0,1
1684010418672,10847,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-10,text,true,,579,1201196,20,50,http://35.223.11.56/api/tasks,10847,0,1
1684010419160,10951,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-11,text,true,,579,1201184,20,50,http://35.223.11.56/api/tasks,10951,0,2
1684010419684,11112,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-12,text,true,,579,1201200,20,50,http://35.223.11.56/api/tasks,11112,0,1
1684010420204,11089,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-13,text,true,,579,1201180,20,50,http://35.223.11.56/api/tasks,11089,0,1
1684010420702,11085,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-14,text,true,,579,1201176,20,50,http://35.223.11.56/api/tasks,11085,0,2
1684010421207,11067,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-15,text,true,,579,1201168,20,50,http://35.223.11.56/api/tasks,11067,0,2
1684010421699,11060,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-16,text,true,,579,1201172,20,50,http://35.223.11.56/api/tasks,11060,0,1
1684010422189,11058,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-17,text,true,,579,1201188,20,50,http://35.223.11.56/api/tasks,11058,0,1
1684010412538,21027,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_600 3-1,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21027
1684010412533,21032,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_300 2-1,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21032
1684010412600,21028,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_300 2-2,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21028
1684010412609,21050,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_600 3-2,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21050
1684010412668,21038,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_300 2-3,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21038
1684010412676,21046,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_600 3-3,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21045
1684010422659,11072,StressTestCase ,200,OK,ThreadStressTestCase_20_60 1-18,text,true,,579,1201208,20,50,http://35.223.11.56/api/tasks,11072,0,1
1684010412744,21024,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_600 3-4,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21024
1684010412736,21048,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_300 2-4,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21048
1684010412803,21028,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_300 2-5,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21028
1684010412811,21020,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_600 3-5,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21020
1684010412877,21032,StressTestCase ,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.70.250.35:8080 [/34.70.250.35] failed: Connection timed out: connect,ThreadStressTestCase _15_600 3-6,text,false,,2715,0,15,50,http://34.70.250.35:8080/api/tasks,0,0,21032
