timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682202641491,155,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_600 3-1,text,false,,224,1201173,1,3,http://34.70.250.35:8080/api/tasks,148,0,105
1682202641506,138,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201189,1,3,http://34.70.250.35:8080/api/tasks,128,0,89
1682202641504,211,StressTestCase ,500,INTERNAL SERVER ERROR,ThreadStressTestCase_1_60 1-1,text,false,,308,1201193,1,3,http://34.70.250.35:8080/api/tasks,211,0,93
1682202641665,63,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_600 3-1,text,false,,224,1201205,1,3,http://34.70.250.35:8080/api/tasks,62,0,0
1682202641679,68,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201189,1,3,http://34.70.250.35:8080/api/tasks,68,0,0
1682202641718,88,StressTestCase ,200,OK,ThreadStressTestCase_1_60 1-1,text,true,,594,1201173,1,3,http://34.70.250.35:8080/api/tasks,88,0,0
1682202641731,78,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_600 3-1,text,false,,224,1201177,1,3,http://34.70.250.35:8080/api/tasks,78,0,0
1682202641754,69,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201193,1,3,http://34.70.250.35:8080/api/tasks,69,0,0
1682202641810,90,StressTestCase ,200,OK,ThreadStressTestCase_1_60 1-1,text,true,,594,1201181,1,3,http://34.70.250.35:8080/api/tasks,90,0,0
1682202641816,86,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_600 3-1,text,false,,224,1201197,1,3,http://34.70.250.35:8080/api/tasks,86,0,0
1682202641826,85,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201185,1,3,http://34.70.250.35:8080/api/tasks,85,0,0
