timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682204802128,19,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201181,1,3,http://34.70.250.35:8080/api/tasks,19,0,2
1682204802123,39,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_1_60 1-1,text,false,,224,1201181,1,3,http://34.70.250.35:8080/api/tasks,39,0,4
1682204802136,102,StressTestCase ,200,OK,ThreadStressTestCase _1_600 3-1,text,true,,594,1201213,1,3,http://34.70.250.35:8080/api/tasks,102,0,2
1682204802164,77,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201181,1,3,http://34.70.250.35:8080/api/tasks,77,0,0
1682204802164,85,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_1_60 1-1,text,false,,224,1201189,1,3,http://34.70.250.35:8080/api/tasks,85,0,0
1682204802239,77,StressTestCase ,200,OK,ThreadStressTestCase _1_600 3-1,text,true,,594,1201201,1,3,http://34.70.250.35:8080/api/tasks,77,0,0
1682204802241,81,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201209,1,3,http://34.70.250.35:8080/api/tasks,81,0,0
1682204802250,73,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_1_60 1-1,text,false,,224,1201177,1,3,http://34.70.250.35:8080/api/tasks,73,0,0
1682204802316,88,StressTestCase ,200,OK,ThreadStressTestCase _1_600 3-1,text,true,,594,1201177,1,3,http://34.70.250.35:8080/api/tasks,88,0,0
1682204802323,82,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201177,1,3,http://34.70.250.35:8080/api/tasks,82,0,0
1682204802324,85,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_1_60 1-1,text,false,,224,1201197,1,3,http://34.70.250.35:8080/api/tasks,85,0,0
1682204802404,78,StressTestCase ,200,OK,ThreadStressTestCase _1_600 3-1,text,true,,594,1201213,1,3,http://34.70.250.35:8080/api/tasks,78,0,0
1682204802405,80,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201177,1,3,http://34.70.250.35:8080/api/tasks,80,0,0
1682204802410,77,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_1_60 1-1,text,false,,224,1201189,1,3,http://34.70.250.35:8080/api/tasks,77,0,0
1682204802482,80,StressTestCase ,200,OK,ThreadStressTestCase _1_600 3-1,text,true,,594,1201197,1,3,http://34.70.250.35:8080/api/tasks,80,0,0
1682204802486,78,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _1_300 2-1,text,false,,224,1201201,1,3,http://34.70.250.35:8080/api/tasks,78,0,0
1682204802487,80,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_1_60 1-1,text,false,,224,1201205,1,3,http://34.70.250.35:8080/api/tasks,80,0,0
1682204802562,87,StressTestCase ,200,OK,ThreadStressTestCase _1_600 3-1,text,true,,594,1201181,1,3,http://34.70.250.35:8080/api/tasks,87,0,0
