timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682207585809,112,StressTestCase ,200,OK,ThreadStressTestCase_10_60 1-1,text,true,,595,1201181,2,5,http://34.70.250.35:8080/api/tasks,112,0,3
1682207585818,172,StressTestCase ,200,OK,ThreadStressTestCase _10_300 2-1,text,true,,595,1201193,2,6,http://34.70.250.35:8080/api/tasks,172,0,5
1682207585837,162,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_600 3-1,text,false,,224,1201181,2,6,http://34.70.250.35:8080/api/tasks,162,0,2
1682207585902,170,StressTestCase ,200,OK,ThreadStressTestCase _10_300 2-2,text,true,,595,1201185,3,9,http://34.70.250.35:8080/api/tasks,170,0,2
1682207585904,247,StressTestCase ,200,OK,ThreadStressTestCase_10_60 1-2,text,true,,595,1201177,4,12,http://34.70.250.35:8080/api/tasks,247,0,2
1682207585925,293,StressTestCase ,200,OK,ThreadStressTestCase_10_60 1-1,text,true,,595,1201185,5,13,http://34.70.250.35:8080/api/tasks,293,0,0
1682207585944,275,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_600 3-2,text,false,,224,1201209,4,13,http://34.70.250.35:8080/api/tasks,275,0,2
1682207585991,310,StressTestCase ,200,OK,ThreadStressTestCase _10_300 2-1,text,true,,595,1201209,5,16,http://34.70.250.35:8080/api/tasks,310,0,0
1682207585999,304,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_600 3-1,text,false,,224,1201209,5,16,http://34.70.250.35:8080/api/tasks,304,0,0
1682207586005,377,StressTestCase ,200,OK,ThreadStressTestCase_10_60 1-3,text,true,,595,1201213,6,18,http://34.70.250.35:8080/api/tasks,377,0,2
1682207586017,434,StressTestCase ,200,OK,ThreadStressTestCase _10_300 2-3,text,true,,595,1201197,7,20,http://34.70.250.35:8080/api/tasks,434,0,4
1682207586040,418,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_600 3-3,text,false,,224,1201173,6,20,http://34.70.250.35:8080/api/tasks,418,0,5
1682207586075,449,StressTestCase ,200,OK,ThreadStressTestCase _10_300 2-2,text,true,,595,1201185,7,22,http://34.70.250.35:8080/api/tasks,449,0,0
1682207586103,492,StressTestCase ,200,OK,ThreadStressTestCase_10_60 1-4,text,true,,595,1201177,8,24,http://34.70.250.35:8080/api/tasks,492,0,4
1682207586128,537,StressTestCase ,200,OK,ThreadStressTestCase _10_300 2-4,text,true,,595,1201173,9,27,http://34.70.250.35:8080/api/tasks,537,0,5
1682207586143,523,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_600 3-4,text,false,,224,1201201,9,27,http://34.70.250.35:8080/api/tasks,523,0,2
1682207586157,580,StressTestCase ,200,OK,ThreadStressTestCase_10_60 1-2,text,true,,595,1201185,10,29,http://34.70.250.35:8080/api/tasks,580,0,0
