timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682208538882,21,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_10_60 1-1,text,false,,224,1201213,1,2,http://34.70.250.35:8080/api/tasks,21,0,3
1682208538906,22,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_10_60 1-1,text,false,,224,1201197,1,3,http://34.70.250.35:8080/api/tasks,22,0,0
1682208538891,51,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_300 2-1,text,false,,224,1201189,1,3,http://34.70.250.35:8080/api/tasks,51,0,8
1682208538913,121,StressTestCase ,200,OK,ThreadStressTestCase _10_600 3-1,text,true,,595,1201213,2,6,http://34.70.250.35:8080/api/tasks,121,0,3
1682208538928,109,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_10_60 1-1,text,false,,224,1201173,2,6,http://34.70.250.35:8080/api/tasks,109,0,0
1682208538945,102,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_300 2-1,text,false,,224,1201185,2,6,http://34.70.250.35:8080/api/tasks,102,0,0
1682208539004,47,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_300 2-2,text,false,,224,1201205,2,6,http://34.70.250.35:8080/api/tasks,47,0,4
1682208538977,73,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_10_60 1-2,text,false,,224,1201189,2,6,http://34.70.250.35:8080/api/tasks,73,0,2
1682208539023,99,StressTestCase ,200,OK,ThreadStressTestCase _10_600 3-2,text,true,,595,1201205,3,9,http://34.70.250.35:8080/api/tasks,99,0,2
1682208539035,163,StressTestCase ,200,OK,ThreadStressTestCase _10_600 3-1,text,true,,595,1201205,3,10,http://34.70.250.35:8080/api/tasks,163,0,0
1682208539037,164,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase_10_60 1-1,text,false,,224,1201185,4,10,http://34.70.250.35:8080/api/tasks,164,0,0
1682208539047,162,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_300 2-1,text,false,,224,1201185,4,11,http://34.70.250.35:8080/api/tasks,162,0,0
1682208539053,158,StressTestCase ,401,UNAUTHORIZED,ThreadStressTestCase _10_300 2-2,text,false,,224,1201189,4,11,http://34.70.250.35:8080/api/tasks,158,0,0
