timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681605296504,154,StressTestCase ,200,OK,ThreadStressTestCase  1-1,text,true,,579,1201181,2,2,http://192.168.0.16:8080/api/tasks,154,0,2
1681605296603,113,StressTestCase ,200,OK,ThreadStressTestCase  1-2,text,true,,579,1201173,3,3,http://192.168.0.16:8080/api/tasks,113,0,2
1681605296660,100,StressTestCase ,200,OK,ThreadStressTestCase  1-1,text,true,,579,1201185,3,3,http://192.168.0.16:8080/api/tasks,100,0,0
1681605296703,110,StressTestCase ,200,OK,ThreadStressTestCase  1-3,text,true,,579,1201213,4,4,http://192.168.0.16:8080/api/tasks,110,0,2
1681605296760,102,StressTestCase ,200,OK,ThreadStressTestCase  1-1,text,true,,579,1201177,4,4,http://192.168.0.16:8080/api/tasks,102,0,0
1681605296802,109,StressTestCase ,200,OK,ThreadStressTestCase  1-4,text,true,,579,1201173,5,5,http://192.168.0.16:8080/api/tasks,109,0,1
1681605296813,157,StressTestCase ,200,OK,ThreadStressTestCase  1-3,text,true,,579,1201201,5,5,http://192.168.0.16:8080/api/tasks,157,0,0
1681605296863,176,StressTestCase ,200,OK,ThreadStressTestCase  1-1,text,true,,579,1201201,6,6,http://192.168.0.16:8080/api/tasks,176,0,0
1681605296903,184,StressTestCase ,200,OK,ThreadStressTestCase  1-5,text,true,,579,1201181,6,6,http://192.168.0.16:8080/api/tasks,184,0,1
1681605296970,183,StressTestCase ,200,OK,ThreadStressTestCase  1-3,text,true,,580,1201213,7,7,http://192.168.0.16:8080/api/tasks,183,0,0
1681605297003,175,StressTestCase ,200,OK,ThreadStressTestCase  1-6,text,true,,580,1201205,7,7,http://192.168.0.16:8080/api/tasks,175,0,1
1681605297039,187,StressTestCase ,200,OK,ThreadStressTestCase  1-1,text,true,,580,1201193,8,8,http://192.168.0.16:8080/api/tasks,187,0,0
1681605296718,558,StressTestCase ,200,OK,ThreadStressTestCase  1-2,text,true,,580,1201181,8,8,http://192.168.0.16:8080/api/tasks,558,0,0
1681605297088,238,StressTestCase ,200,OK,ThreadStressTestCase  1-5,text,true,,580,1201173,9,9,http://192.168.0.16:8080/api/tasks,238,0,0
1681605297103,265,StressTestCase ,200,OK,ThreadStressTestCase  1-7,text,true,,580,1201205,9,9,http://192.168.0.16:8080/api/tasks,265,0,2
1681605297154,279,StressTestCase ,200,OK,ThreadStressTestCase  1-3,text,true,,580,1201185,10,10,http://192.168.0.16:8080/api/tasks,279,0,0
1681605297203,269,StressTestCase ,200,OK,ThreadStressTestCase  1-8,text,true,,580,1201177,10,10,http://192.168.0.16:8080/api/tasks,269,0,1
1681605297227,294,StressTestCase ,200,OK,ThreadStressTestCase  1-1,text,true,,580,1201173,10,10,http://192.168.0.16:8080/api/tasks,294,0,0
1681605296912,677,StressTestCase ,200,OK,ThreadStressTestCase  1-4,text,true,,580,1201177,10,10,http://192.168.0.16:8080/api/tasks,677,0,0
